_path,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,trans_id,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,rejected,Anomalous,Anomaly_Description
capture_loss,2023-11-25 19:06:17.641211+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
stats,2023-11-25 19:06:17.641211+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
ssl,2023-11-25 19:06:17.548316+00:00,CrNDQ82jtKEsJQvYl3,192.168.169.135,58866.0,142.250.194.234,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:06:17.526951+00:00,CrNDQ82jtKEsJQvYl3,192.168.169.135,58866.0,142.250.194.234,443.0,tcp,ssl,113.024ms,1614.0,2680.0,SF,0.0,ShADadFf,12.0,2114.0,12.0,3164.0,1:jWW/YYwlNCNXhqBJggVnj4fldOE=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:06:17.513568+00:00,CdNWkB13FYN6Uv2Tgb,192.168.169.135,60846.0,192.168.169.2,53.0,udp,dns,9.461ms,45.0,61.0,SF,0.0,Dd,1.0,73.0,1.0,89.0,1:NUnLR4D3SjEJnxNbYYR96J+wgig=,,,,,,,,,,,,,,,False,No issues till now
dns,2023-11-25 19:06:17.513568+00:00,CdNWkB13FYN6Uv2Tgb,192.168.169.135,60846.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,31117.0,safebrowsing.googleapis.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
capture_loss,2023-11-25 19:06:11.449097+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
stats,2023-11-25 19:06:11.449097+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:06:11.449097+00:00,CfURdB43PvB3PosW2a,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:05:49.265530+00:00,CJvEW22sYt2ORVHsag,192.168.169.1,60255.0,239.255.255.250,1900.0,udp,,3.00414s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:vZ6nCty1JSwkdU0hr36A+aSBC8I=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
