_path,ts,ts_delta,peer,gaps,acks,percent_lost,mem,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,events_proc,events_queued,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,timers,active_timers,files,active_files,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,reassem_unknown_size,fuid,tx_hosts,rx_hosts,conn_uids,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,proto,service,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,geo.orig.country_code,geo.orig.region,geo.orig.city,geo.orig.latitude,geo.orig.longitude,geo.resp.country_code,geo.resp.region,geo.resp.city,geo.resp.latitude,geo.resp.longitude,community_id,cipher,curve,server_name,resumed,last_alert,next_protocol,established,cert_chain_fuids,client_cert_chain_fuids,subject,issuer,client_subject,client_issuer,validation_status,ja3,ja3s,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,event_type,src_ip,src_port,dest_ip,dest_port,vlan,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth
capture_loss,2023-11-25T18:43:25.383722Z,2m39.933729s,zeek,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stats,2023-11-25T18:43:25.383722Z,,zeek,,,,0,212,28429,,,,376,377,3,0,1,15,4,3,454,0,9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,2023-11-25T18:42:58.616354Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F2TByh3x369CmQQKjd,|[192.168.169.136]|,|[192.168.169.135]|,"|[""C50MCl46r0LktjbmWb""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/html,,0s,,false,297,297,0,0,false,,451bb965010137b332a38e1716629c5f,d0fa376cc404a4529f124402598f8b535439c350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,2023-11-25T18:42:58.614617Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FaCTGA1JmRamUsMIFl,|[192.168.169.135]|,|[192.168.169.136]|,"|[""C50MCl46r0LktjbmWb""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/plain,,0s,,true,683,683,0,0,false,,5afdcb37f3b8713369720b218b10c092,5684cf138835b796359dd05a59bf60a631c3a7c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http,2023-11-25T18:42:58.614617Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C50MCl46r0LktjbmWb,192.168.169.135,33643,192.168.169.136,80,1,GET,192.168.169.136,/dnslookup.cgi,,1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",,683,297,404,Not Found,,,|[]|,(empty),,,"[""FaCTGA1JmRamUsMIFl""]",,"[""text/plain""]","[""F2TByh3x369CmQQKjd""]",,"[""text/html""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:42:58.611656Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.718ms,,,,,,,,,,,,,,,C50MCl46r0LktjbmWb,192.168.169.135,33643,192.168.169.136,80,,,,,,,,,,,,,,,,,,,,,,,,,tcp,http,928,463,SF,,0,ShADadFf,6,1248,4,679,,,,,,,,,,,,1:xJk1xd0+Y2wCbftz5oGxvPQ5Te4=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,2023-11-25T18:42:58.599263Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8MKPXbahKKWCIAZ,|[192.168.169.136]|,|[192.168.169.135]|,"|[""ClOWqZtvevSnupTAa""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/html,,0s,,false,891,891,0,0,false,,cfe398bfbf64d86085ba7db4d09d7705,fa0d49705f819d948d370259428d2085a399128e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http,2023-11-25T18:42:58.525126Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClOWqZtvevSnupTAa,192.168.169.135,35755,192.168.169.136,80,1,GET,192.168.169.136,/,,1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",,0,891,200,OK,,,|[]|,,,,,,,"[""F8MKPXbahKKWCIAZ""]",,"[""text/html""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:42:58.523069Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.392ms,,,,,,,,,,,,,,,ClOWqZtvevSnupTAa,192.168.169.135,35755,192.168.169.136,80,,,,,,,,,,,,,,,,,,,,,,,,,tcp,http,184,1067,SF,,0,ShADadFf,6,504,4,1283,,,,,,,,,,,,1:gKDy13Xdprv0+ekg1M7EwL+U7OE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:42:47.450387Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMuTlm4O3vSmctaWUe,fe80::8615:1c35:aa8:3f74,135,ff02::1:ff6c:ae6a,136,,,,,,,,,,,,,,,,,,,,,,,,,icmp,,,,OTH,,0,,1,72,0,0,,,,,,,,,,,,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
