_path,ts,ts_delta,peer,gaps,acks,percent_lost,mem,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,events_proc,events_queued,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,timers,active_timers,files,active_files,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,reassem_unknown_size,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,geo.orig.country_code,geo.orig.region,geo.orig.city,geo.orig.latitude,geo.orig.longitude,geo.resp.country_code,geo.resp.region,geo.resp.city,geo.resp.latitude,geo.resp.longitude,community_id,uids,client_addr,server_addr,mac,host_name,client_fqdn,domain,requested_addr,assigned_addr,lease_time,client_message,server_message,msg_types,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,mode,stratum,poll,precision,root_delay,root_disp,ref_id,ref_time,org_time,rec_time,xmt_time,num_exts,fuid,tx_hosts,rx_hosts,conn_uids,source,depth,analyzers,mime_type,filename,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size,event_type,src_ip,src_port,dest_ip,dest_port,vlan,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth,request_type,client,success,error_msg,from,till,cipher,forwardable,renewable,client_cert_subject,client_cert_fuid,server_cert_subject,server_cert_fuid,auth_success,auth_attempts,direction,server,cipher_alg,mac_alg,compression_alg,kex_alg,host_key_alg,host_key,remote_location.country_code,remote_location.region,remote_location.city,remote_location.latitude,remote_location.longitude,hasshVersion,hassh,hasshServer,cshka,hasshAlgorithms,sshka,hasshServerAlgorithms
capture_loss,2023-11-25T09:43:41.678701Z,1m33.144678s,zeek,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stats,2023-11-25T09:43:41.678701Z,,zeek,,,,0,2053,139297,,,,3177,3176,0,0,1,1003,5,1,4213,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:41.678701Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CagSQT1CYVVh3vKlr,fe80::8615:1c35:aa8:3f74,5353,ff02::fb,5353,udp,0,,_ipp._tcp.local,32769,qclass-32769,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:41.675693Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrxteXhfEuLjNVcWe,192.168.169.1,5353,224.0.0.251,5353,udp,0,,_ipp._tcp.local,32769,qclass-32769,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:33.673771Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CagSQT1CYVVh3vKlr,fe80::8615:1c35:aa8:3f74,5353,ff02::fb,5353,udp,0,,_ipp._tcp.local,32769,qclass-32769,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:33.67295Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrxteXhfEuLjNVcWe,192.168.169.1,5353,224.0.0.251,5353,udp,0,,_ipp._tcp.local,32769,qclass-32769,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:29.669613Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CagSQT1CYVVh3vKlr,fe80::8615:1c35:aa8:3f74,5353,ff02::fb,5353,udp,0,,_ipp._tcp.local,32769,qclass-32769,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:29.669081Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrxteXhfEuLjNVcWe,192.168.169.1,5353,224.0.0.251,5353,udp,0,,_ipp._tcp.local,32769,qclass-32769,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:27.667279Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CagSQT1CYVVh3vKlr,fe80::8615:1c35:aa8:3f74,5353,ff02::fb,5353,udp,0,,_ipp._tcp.local,1,C_INTERNET,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T09:43:27.66681Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrxteXhfEuLjNVcWe,192.168.169.1,5353,224.0.0.251,5353,udp,0,,_ipp._tcp.local,1,C_INTERNET,12,PTR,,,false,false,false,false,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
